fecha,base_monetaria,brecha_usd,cer,inflacion,leliq,reservas,tasa_depositos_30_dias,tasa_pase_pasivas_1_dia,usd_general,usd_minorista,usd_oficial,uva
2015-05-31,468573.1052631579,41.124363157894734,4.598238709677419,1.0,,33805.73684210526,20.301052631578948,13.0,12.628421052631579,9.008947368421053,8.948421052631579,
2015-06-30,487909.95454545453,43.03202272727273,4.649186666666667,1.0,,33676.40909090909,20.56772727272727,13.0,12.93409090909091,9.104090909090909,9.042272727272728,
2015-07-31,517334.86363636365,55.66878181818181,4.696122580645161,1.3,,33875.0,20.731363636363636,14.136363636363637,14.233181818181817,9.206818181818182,9.142272727272728,
2015-08-31,527233.85,64.835905,4.7474,1.2,,33712.95,21.229,18.0,15.2375,9.311499999999999,9.243500000000001,
2015-09-30,532933.4090909091,68.22266818181818,4.8078666666666665,1.2,,33433.09090909091,21.453636363636363,18.0,15.754545454545456,9.43590909090909,9.365,
2015-10-31,544292.7142857143,67.23020476190476,4.864470967741935,1.1,,27916.904761904763,21.64095238095238,18.571428571428573,15.87,9.562857142857142,9.49,
2015-11-30,560081.4210526316,57.41785789473684,4.92063,2.0,,26175.052631578947,23.687368421052632,21.0,15.153,9.700526315789475,9.626842105263158,
2015-12-31,622699.6,30.545405263157896,4.989258064516129,3.9,,24823.85,26.1065,20.7,14.453684210526315,11.628499999999999,11.4295,
2016-01-31,601463.15,5.195125,5.088222580645161,4.1,,25750.4,25.017000000000003,18.0,14.361500000000001,13.894499999999999,13.6555,
2016-02-29,563841.2105263158,1.0261736842105262,5.250093103448276,2.7,,29365.842105263157,24.181578947368422,18.36842105263158,14.967894736842105,15.02736842105263,14.81421052631579,
2016-03-31,584929.0476190476,4.007142857142857,5.4641032258064515,3.0,,28764.95238095238,27.035238095238096,28.61904761904762,15.553333333333333,15.183809523809524,14.96238095238095,14.05
2016-04-30,582016.619047619,3.376042857142857,5.6390633333333335,3.4,,30937.238095238095,27.65047619047619,30.0,14.895238095238096,14.658095238095237,14.40952380952381,14.222666666666667
2016-05-31,585480.2380952381,3.5387190476190478,5.803564516129033,4.2,,31563.095238095237,28.31142857142857,30.0,14.636190476190476,14.394285714285715,14.136666666666667,14.633225806451613
2016-06-30,619259.75,2.92248,5.99251,3.1,,31375.2,26.814,28.4125,14.547999999999998,14.41,14.141,15.106333333333334
2016-07-31,670619.7,2.1970199999999998,6.219329032258064,2.0,,33360.1,24.482499999999998,26.075,15.236500000000001,15.1465,14.91,15.678387096774193
2016-08-31,676634.8636363636,3.7322681818181818,6.408874193548388,0.2,,32144.636363636364,22.989545454545453,25.193181818181817,15.40318181818182,15.092272727272727,14.849545454545455,16.163225806451614
2016-09-30,680829.0454545454,2.840040909090909,6.525053333333333,1.1,,30853.5,21.181818181818183,23.113636363636363,15.530909090909091,15.327272727272726,15.101818181818182,16.471
